name,school_code,points,is_cc,html_link
Morgan Street Public School,4232,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-broken-hill
Moulamein Public School,2632,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-balranald
Mungindi Central School,2675,8,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-far-north-area
Naradhan Public School,2701,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-hillston-area
Narrandera East Infants School,4214,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-narrandera-area
Narrandera High School,8157,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-narrandera-area
Narrandera Public School,2710,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-narrandera-area
Niangala Public School,2748,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-mid-north-area
North Star Public School,2765,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-far-north-area
Nyngan High School,8353,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-nyngan-area
Nyngan Public School,2785,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-nyngan-area
Oaklands Central School,2791,6,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-wagga-wagga-area
Palinyewah Public School,3912,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-sunraysia-area
Pallamallawa Public School,2827,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-moree-area
Parkview Public School,4413,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-leeton-area
Peak Hill Central School,2848,6,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-parkes-area
Pilliga Public School,2870,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-narrabri-area
Pomona Public School,2893,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-sunraysia-area
Pooncarie Public School,2895,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-sunraysia-area
Quambone Public School,2919,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-coonamble-area
Quandialla Central School,2920,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-grenfell-area
Railway Town Public School,4233,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-broken-hill
Rankins Springs Public School,2935,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-hillston-area
Rowena Public School,3580,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-Lightning-Ridge-Walgett-area
School of the Air,5302,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-broken-hill
